BGM ID	WD ID	PlayStation2 Name	Description	Loop
10	N/A	Oopsy-Daisy (UNUSED)	Cutscene (KH1)	No
11	N/A	Destati A (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
12	N/A	Destati B (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
13	N/A	Destati C (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
14	N/A	Destati D (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
15	N/A	Destati E (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
16	N/A	Destati F (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
17	N/A	Destati G (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
18	N/A	Destati H (UNUSED)	Dive to the Heart Field/Battle (KH1)	Yes
19	N/A	Destati I (UNUSED)	Dive to the Heart Field/Battle (KH1)	No
50	50	Dive Into The Heart -Destati-	Dive Into The Heart Field	Yes
51	50	Fragments Of Sorrow	Dive Into The Heart Battle	Yes
52	52	The Afternoon Street	Twilight Town Field	Yes
53	52	Working Together (Twilight Town)	Twilight Town Battle	Yes
54	54	Sacred Moon	The World That Never Was Field	Yes
55	54	Deep Drive	The World That Never Was Battle	Yes
56	56	Nights Of The Cursed (UNUSED)	Port Royal Field	Yes
57	56	He Is A Pirate (UNUSED)	Port Royal Battle	Yes
59	59	A Fight To The Death	Boss	Yes
60	60	Darkness Of The Unknown (Part 1)	Boss	Yes
61	60	Darkness Of The Unknown (Part 2)	Boss	Yes
62	60	Darkness Of The Unknown (Part 3)	Boss	Yes
63	63	The 13th Reflection	Boss	Yes
64	64	What A Surprise	Christmas Town Field	Yes
65	64	Happy Holidays	Christmas Town Battle	Yes
66	66	The Other Promise	Boss	Yes
67	67	Rage Awakened	Boss	Yes
68	68	Cavern Of Remembrance	Cavern Of Remembrance Field	Yes
69	68	Deep Anxiety	Cavern Of Remembrance Battle	Yes
81	81	Beneath the Ground (Variation B)	Underworld Cups	Yes
82	82	The Escapade	Minigame	Yes
84	84	Arabian Daydream	Carpet Minigame	Yes
85	85	Byte Striking	Light Cycle	Yes
87	87	Dissapeared	Boss	Yes
88	88	Sora	Cutscene	Yes
89	89	Friends In My Heart	Cutscene	Yes
90	90	Riku	Cutscene	Yes
